timestamp,raw,first6,event_type,event_target,event_value,buttons,analogs
2026-05-16T12:51:53.535,01005300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010053,dial,Dial 1,83,"1,0,0,0","83,0,0,0"
2026-05-16T12:51:53.535,01005200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010052,dial,Dial 1,82,"1,0,0,0","82,0,0,0"
2026-05-16T12:51:53.535,01005100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010051,dial,Dial 1,81,"1,0,0,0","81,0,0,0"
2026-05-16T12:51:53.535,01005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010050,dial,Dial 1,80,"1,0,0,0","80,0,0,0"
2026-05-16T12:51:53.535,01004f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01004f,dial,Dial 1,79,"1,0,0,0","79,0,0,0"
2026-05-16T12:51:53.535,01004e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01004e,dial,Dial 1,78,"1,0,0,0","78,0,0,0"
2026-05-16T12:51:53.535,01004d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01004d,dial,Dial 1,77,"1,0,0,0","77,0,0,0"
2026-05-16T12:51:53.535,01004c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01004c,dial,Dial 1,76,"1,0,0,0","76,0,0,0"
2026-05-16T12:51:53.535,01004b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01004b,dial,Dial 1,75,"1,0,0,0","75,0,0,0"
2026-05-16T12:51:53.535,01004a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01004a,dial,Dial 1,74,"1,0,0,0","74,0,0,0"
2026-05-16T12:51:53.535,01004900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010049,dial,Dial 1,73,"1,0,0,0","73,0,0,0"
2026-05-16T12:51:53.535,01004800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010048,dial,Dial 1,72,"1,0,0,0","72,0,0,0"
2026-05-16T12:51:53.535,01004700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010047,dial,Dial 1,71,"1,0,0,0","71,0,0,0"
2026-05-16T12:51:53.535,01004600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010046,dial,Dial 1,70,"1,0,0,0","70,0,0,0"
2026-05-16T12:51:53.535,01004500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010045,dial,Dial 1,69,"1,0,0,0","69,0,0,0"
2026-05-16T12:51:53.536,01004400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010044,dial,Dial 1,68,"1,0,0,0","68,0,0,0"
2026-05-16T12:51:53.536,01004300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010043,dial,Dial 1,67,"1,0,0,0","67,0,0,0"
